,HARGA,LB,LT,KT,KM,GRS
243,3100000000.0,120.0,86.0,5.0,4.0,2.0
244,4650000000.0,320.0,135.0,6.0,5.0,1.0
245,8750000000.0,250.0,200.0,4.0,4.0,2.0
247,8000000000.0,250.0,300.0,3.0,3.0,2.0
248,750000000.0,80.0,78.0,3.0,1.0,0.0
249,5000000000.0,250.0,335.0,7.0,5.0,1.0
250,8500000000.0,260.0,256.0,5.0,5.0,2.0
252,9500000000.0,400.0,345.0,5.0,3.0,1.0
253,3800000000.0,200.0,140.0,4.0,3.0,1.0
254,2650000000.0,125.0,90.0,3.0,3.0,2.0
255,12000000000.0,230.0,244.0,5.0,4.0,3.0
256,3300000000.0,170.0,154.0,5.0,3.0,2.0
257,3900000000.0,260.0,146.0,3.0,1.0,1.0
258,7800000000.0,200.0,253.0,4.0,3.0,3.0
259,4700000000.0,200.0,150.0,4.0,4.0,2.0
260,7500000000.0,444.0,200.0,10.0,10.0,2.0
261,16000000000.0,400.0,400.0,5.0,4.0,4.0
262,2600000000.0,120.0,142.0,3.0,2.0,1.0
263,13000000000.0,250.0,322.0,4.0,3.0,2.0
264,4500000000.0,250.0,96.0,4.0,5.0,2.0
265,3850000000.0,200.0,186.0,3.0,2.0,2.0
266,1900000000.0,125.0,133.0,3.0,3.0,1.0
267,15000000000.0,500.0,384.0,4.0,3.0,3.0
268,8000000000.0,168.0,221.0,5.0,3.0,2.0
269,15000000000.0,480.0,378.0,5.0,4.0,1.0
270,2700000000.0,125.0,90.0,3.0,3.0,2.0
272,6500000000.0,300.0,248.0,5.0,4.0,0.0
274,6500000000.0,200.0,222.0,4.0,2.0,1.0
276,4000000000.0,150.0,120.0,4.0,3.0,1.0
277,4000000000.0,250.0,135.0,4.0,5.0,1.0
278,2700000000.0,210.0,91.0,5.0,3.0,0.0
279,9000000000.0,470.0,353.0,9.0,6.0,3.0
280,7500000000.0,200.0,288.0,4.0,2.0,1.0
281,5500000000.0,200.0,454.0,3.0,4.0,1.0
284,8250000000.0,400.0,230.0,6.0,4.0,2.0
285,8500000000.0,300.0,205.0,4.0,4.0,4.0
286,10750000000.0,200.0,189.0,5.0,4.0,3.0
287,2458000000.0,165.0,135.0,4.0,3.0,1.0
288,3500000000.0,125.0,153.0,3.0,2.0,1.0
290,5500000000.0,280.0,216.0,4.0,3.0,3.0
291,10000000000.0,300.0,368.0,4.0,4.0,4.0
293,2999000000.0,102.0,102.0,3.0,3.0,2.0
294,5899000000.0,350.0,130.0,6.0,6.0,3.0
295,3245000000.0,120.0,152.0,4.0,4.0,4.0
296,5750000128.0,320.0,183.0,6.0,3.0,3.0
297,6500000000.0,300.0,213.0,5.0,4.0,4.0
298,6500000000.0,220.0,181.0,8.0,6.0,1.0
299,4800000000.0,250.0,170.0,4.0,4.0,3.0
300,16000000000.0,500.0,420.0,4.0,4.0,4.0
301,13000000000.0,380.0,312.0,4.0,3.0,2.0
302,7000000000.0,180.0,283.0,4.0,3.0,2.0
303,2800000000.0,250.0,90.0,4.0,3.0,2.0
304,1850000000.0,80.0,90.0,3.0,2.0,0.0
306,4300000000.0,117.0,205.0,4.0,3.0,3.0
307,4300000000.0,200.0,145.0,3.0,3.0,2.0
308,5500000000.0,300.0,266.0,6.0,4.0,4.0
311,12999000000.0,400.0,429.0,9.0,5.0,5.0
312,2300000000.0,160.0,135.0,4.0,3.0,1.0
313,7100000000.0,200.0,256.0,5.0,3.0,3.0
314,7000000000.0,350.0,180.0,3.0,3.0,0.0
315,1500000000.0,200.0,170.0,7.0,2.0,0.0
316,1500000000.0,100.0,80.0,4.0,2.0,0.0
317,3500000000.0,150.0,135.0,4.0,2.0,0.0
318,4000000000.0,150.0,100.0,3.0,3.0,1.0
319,4000000000.0,144.0,126.0,4.0,2.0,3.0
320,3750000000.0,150.0,135.0,3.0,2.0,1.0
321,4000000000.0,150.0,140.0,4.0,2.0,2.0
322,6000000000.0,450.0,260.0,7.0,4.0,1.0
325,9200000000.0,650.0,695.0,9.0,6.0,1.0
326,7500000000.0,180.0,253.0,3.0,2.0,1.0
327,14250000000.0,350.0,393.0,5.0,4.0,1.0
328,4000000000.0,216.0,135.0,5.0,4.0,2.0
329,5850000000.0,220.0,138.0,4.0,3.0,2.0
330,2700000000.0,160.0,90.0,3.0,3.0,1.0
331,3250000000.0,200.0,157.0,7.0,3.0,1.0
332,9800000000.0,350.0,247.0,4.0,3.0,2.0
333,12000000000.0,350.0,237.0,4.0,3.0,2.0
335,14500000000.0,500.0,307.0,10.0,7.0,2.0
336,8200000000.0,300.0,260.0,4.0,4.0,3.0
337,2700000000.0,120.0,92.0,3.0,3.0,2.0
338,2500000000.0,121.0,100.0,3.0,2.0,2.0
339,9900000000.0,350.0,250.0,5.0,3.0,2.0
340,4200000000.0,285.0,160.0,5.0,6.0,1.0
341,10000000000.0,353.0,535.0,10.0,10.0,7.0
342,5000000000.0,220.0,217.0,3.0,3.0,1.0
343,4300000000.0,250.0,90.0,4.0,4.0,2.0
344,3000000000.0,250.0,125.0,3.0,2.0,1.0
345,3000000000.0,130.0,170.0,4.0,3.0,1.0
346,3400000000.0,170.0,110.0,4.0,4.0,2.0
347,3200000000.0,150.0,90.0,3.0,2.0,1.0
348,3000000000.0,150.0,110.0,4.0,3.0,2.0
349,3200000000.0,210.0,91.0,5.0,3.0,1.0
350,3300000000.0,150.0,90.0,3.0,2.0,1.0
351,5700000000.0,250.0,190.0,4.0,3.0,1.0
352,2100000000.0,188.0,125.0,6.0,4.0,1.0
353,4000000000.0,89.0,175.0,3.0,3.0,2.0
354,2200000000.0,120.0,220.0,5.0,3.0,1.0
355,8500000000.0,234.0,300.0,5.0,4.0,1.0
356,1700000000.0,154.0,204.0,5.0,2.0,0.0
357,10500000000.0,350.0,247.0,5.0,5.0,3.0
358,1899000000.0,150.0,135.0,4.0,2.0,1.0
359,1500000000.0,90.0,121.0,3.0,2.0,0.0
360,9000000000.0,399.0,384.0,3.0,3.0,1.0
361,3500000000.0,180.0,100.0,5.0,4.0,1.0
363,7800000000.0,160.0,261.0,3.0,4.0,2.0
364,8000000000.0,200.0,202.0,5.0,3.0,3.0
365,8000000000.0,450.0,306.0,5.0,4.0,1.0
366,2900000000.0,90.0,135.0,2.0,1.0,1.0
367,2950000000.0,125.0,135.0,2.0,1.0,0.0
368,2600000000.0,80.0,130.0,2.0,1.0,0.0
369,2500000000.0,105.0,54.0,3.0,2.0,1.0
370,2500000000.0,100.0,130.0,3.0,2.0,0.0
371,2600000000.0,180.0,95.0,4.0,2.0,1.0
372,2700000000.0,120.0,142.0,3.0,2.0,1.0
373,5000000000.0,100.0,220.0,2.0,1.0,0.0
374,5900000000.0,340.0,134.0,5.0,4.0,3.0
375,3000000000.0,250.0,150.0,3.0,3.0,2.0
376,3500000000.0,160.0,118.0,4.0,4.0,2.0
377,3200000000.0,128.0,138.0,3.0,2.0,1.0
378,5300000000.0,200.0,145.0,3.0,3.0,2.0
379,6500000000.0,220.0,150.0,3.0,3.0,1.0
380,6000000000.0,300.0,284.0,7.0,3.0,3.0
381,3500000000.0,200.0,135.0,3.0,3.0,2.0
382,2780000000.0,192.0,120.0,5.0,4.0,2.0
383,4900000000.0,215.0,135.0,9.0,8.0,0.0
384,3800000000.0,160.0,165.0,4.0,3.0,1.0
385,4500000000.0,175.0,125.0,3.0,3.0,2.0
386,6500000000.0,350.0,230.0,4.0,4.0,2.0
387,5500000000.0,300.0,140.0,3.0,3.0,2.0
389,3900000000.0,150.0,250.0,4.0,2.0,2.0
390,9200000000.0,450.0,700.0,8.0,4.0,4.0
391,2200000000.0,150.0,82.0,5.0,2.0,2.0
392,2100000000.0,100.0,126.0,2.0,2.0,1.0
393,2450000000.0,150.0,135.0,5.0,2.0,0.0
394,2150000000.0,120.0,135.0,3.0,2.0,1.0
395,2300000000.0,130.0,150.0,4.0,1.0,0.0
396,2000000000.0,120.0,94.0,2.0,2.0,0.0
397,2250000000.0,130.0,150.0,2.0,1.0,0.0
398,2000000000.0,100.0,111.0,2.0,2.0,1.0
402,9000000000.0,470.0,353.0,9.0,6.0,0.0
403,6200000000.0,260.0,138.0,6.0,5.0,0.0
404,2400000000.0,120.0,149.0,3.0,2.0,0.0
405,15000000000.0,237.0,387.0,5.0,4.0,3.0
407,2200000000.0,120.0,100.0,3.0,2.0,1.0
408,5000000000.0,320.0,150.0,9.0,5.0,0.0
410,2700000000.0,135.0,87.0,3.0,2.0,2.0
411,4595000000.0,170.0,136.0,5.0,4.0,2.0
412,1300000000.0,100.0,75.0,3.0,2.0,0.0
413,12000000000.0,500.0,590.0,10.0,10.0,0.0
415,3500000000.0,170.0,100.0,5.0,3.0,3.0
416,3900000000.0,179.0,142.0,5.0,4.0,2.0
419,1250000000.0,480.0,312.0,4.0,2.0,1.0
420,3900000000.0,230.0,130.0,3.0,4.0,3.0
421,3000000000.0,150.0,160.0,5.0,2.0,0.0
422,12000000000.0,240.0,303.0,6.0,6.0,4.0
423,5000000000.0,275.0,210.0,6.0,5.0,3.0
424,2300000000.0,150.0,132.0,4.0,3.0,1.0
425,9800000000.0,162.0,342.0,5.0,3.0,2.0
426,6800000000.0,500.0,428.0,5.0,4.0,4.0
427,11000000000.0,600.0,391.0,7.0,5.0,4.0
428,11500000000.0,350.0,400.0,9.0,7.0,6.0
429,3600000000.0,130.0,163.0,3.0,2.0,2.0
431,9500000000.0,340.0,240.0,7.0,4.0,2.0
432,13000000000.0,225.0,322.0,4.0,3.0,2.0
433,10000000000.0,300.0,264.0,5.0,4.0,0.0
434,5500000000.0,117.0,205.0,5.0,4.0,0.0
435,3500000000.0,90.0,110.0,3.0,3.0,1.0
436,3500000000.0,250.0,91.0,4.0,2.0,2.0
437,3800000000.0,154.0,113.0,4.0,4.0,3.0
438,2800000000.0,250.0,90.0,3.0,3.0,1.0
439,13750000000.0,600.0,429.0,6.0,4.0,1.0
